CensusID,CensusName,MedianIncomeByPlaceofBirth,MedianIncome,TotalPopulation,AvgPopulation,Population5M,Population45M,Population4M,Population35M,Population3M
1400000US36103146604,"Census Tract 1466.04, Suffolk County, New York",41544.0000,92938.0000,4417.0000,4404,321866.0000,265982.0000,203289.0000,161683.0000,107481.0000
1400000US36103146607,"Census Tract 1466.07, Suffolk County, New York",33115.0000,52917.0000,2345.0000,2347,278882.0000,215696.0000,169445.0000,149441.0000,118095.0000
1400000US36103146608,"Census Tract 1466.08, Suffolk County, New York",41050.0000,85000.0000,2620.0000,2639,244004.0000,207483.0000,172975.0000,154783.0000,122302.0000
1400000US36103146613,"Census Tract 1466.13, Suffolk County, New York",40324.0000,106726.0000,4082.0000,3886,296898.0000,280665.0000,224299.0000,184045.0000,156294.0000
1400000US36103146615,"Census Tract 1466.15, Suffolk County, New York",45615.0000,85899.0000,4485.0000,4588,264276.0000,226977.0000,208305.0000,159520.0000,133313.0000
1400000US36103146705,"Census Tract 1467.05, Suffolk County, New York",40070.0000,98571.0000,3254.0000,3311,359374.0000,318144.0000,257164.0000,228835.0000,187874.0000
1400000US36103146706,"Census Tract 1467.06, Suffolk County, New York",42684.0000,106563.0000,2594.0000,2534,353783.0000,329259.0000,263489.0000,218582.0000,183340.0000
1400000US36103147001,"Census Tract 1470.01, Suffolk County, New York",45579.0000,111250.0000,4427.0000,4612,307196.0000,255147.0000,199020.0000,166120.0000,136031.0000
1400000US36103147200,"Census Tract 1472, Suffolk County, New York",26610.0000,65972.0000,6602.0000,6392,320602.0000,267675.0000,228181.0000,185405.0000,154883.0000
1400000US36103147401,"Census Tract 1474.01, Suffolk County, New York",35434.0000,85203.0000,5849.0000,5885,276784.0000,232546.0000,217487.0000,175756.0000,145439.0000
1400000US36103147502,"Census Tract 1475.02, Suffolk County, New York",40806.0000,128750.0000,6543.0000,6555,198945.0000,158077.0000,146411.0000,113401.0000,83859.0000
1400000US36081093401,"Census Tract 934.01, Queens County, New York",37946.0000,82250.0000,3596.0000,3627,302729.0000,184956.0000,87159.0000,69376.0000,49460.0000
1400000US36081094700,"Census Tract 947, Queens County, New York",26677.0000,62452.0000,2536.0000,2705,2018078.0000,1646541.0000,1265928.0000,924145.0000,595605.0000
1400000US36081097204,"Census Tract 972.04, Queens County, New York",19279.0000,43029.0000,3741.0000,3962,271024.0000,204019.0000,169730.0000,150108.0000,126205.0000
1400000US36081098700,"Census Tract 987, Queens County, New York",36952.0000,69242.0000,2519.0000,2544,1354490.0000,1005452.0000,739639.0000,504384.0000,399051.0000
1400000US36081099200,"Census Tract 992, Queens County, New York",21250.0000,26766.0000,4146.0000,4432,293555.0000,247904.0000,178619.0000,166198.0000,142109.0000
1400000US36081101001,"Census Tract 1010.01, Queens County, New York",17588.0000,26557.0000,10986.0000,10976,320358.0000,244576.0000,205596.0000,163016.0000,153904.0000
1400000US36081104700,"Census Tract 1047, Queens County, New York",26359.0000,50556.0000,6882.0000,7148,1674972.0000,1299137.0000,1040907.0000,802274.0000,553828.0000
1400000US36081109300,"Census Tract 1093, Queens County, New York",40955.0000,88363.0000,3384.0000,3275,1126627.0000,839423.0000,655431.0000,532746.0000,427583.0000
1400000US36081115100,"Census Tract 1151, Queens County, New York",29659.0000,73487.0000,1167.0000,1174,1535716.0000,1296798.0000,995262.0000,714691.0000,510691.0000
1400000US36081115900,"Census Tract 1159, Queens County, New York",23429.0000,58400.0000,4388.0000,4563,1710320.0000,1358333.0000,1092809.0000,865188.0000,646433.0000
1400000US36081117500,"Census Tract 1175, Queens County, New York",35272.0000,69769.0000,4904.0000,5149,1549507.0000,1303094.0000,1041081.0000,740109.0000,514702.0000
1400000US36081119500,"Census Tract 1195, Queens County, New York",35677.0000,81518.0000,1390.0000,1255,1683904.0000,1409167.0000,1126831.0000,864609.0000,600822.0000
1400000US36103147902,"Census Tract 1479.02, Suffolk County, New York",52708.0000,137841.0000,3956.0000,4072,138754.0000,126847.0000,116969.0000,98843.0000,78756.0000
1400000US36119003700,"Census Tract 37, Westchester County, New York",29464.0000,44514.0000,3492.0000,3448,1088909.0000,934615.0000,781333.0000,653167.0000,494951.0000
