hour,lat,long,base,MedianIncomeByPlaceofBirth,MedianIncome,AvgPopulation,UserGroup
0,40.807,-73.9609,B02682,32266.0,112708.0,1813.0,1
11,40.6502,-73.9496,B02617,28954.0,41327.0,4361.0,0
35,40.8347,-73.8549,B02598,22185.0,40811.0,3308.0,0
56,40.6862,-73.8609,B02682,25013.0,80352.0,4208.0,1
47,40.7726,-73.9259,B02617,27190.0,50417.0,3143.0,0
49,40.7088,-73.7627,B02682,30211.0,92583.0,1246.0,1
43,40.7168,-74.0123,B02617,141635.0,250001.0,6488.0,1
5,40.6763,-73.5686,B02617,52997.0,122439.0,5980.0,1
32,40.8435,-73.9416,B02682,18799.0,50609.0,13903.0,0
30,40.6912,-73.755,B02617,35906.0,72689.0,6476.0,1
48,40.7496,-73.8929,B02617,28300.0,45299.0,6476.0,0
4,40.8091,-73.9518,B02617,31203.0,52826.0,3090.0,0
48,40.6909,-73.7812,B02617,17667.0,31850.0,1907.0,0
3,40.8893,-73.8314,B02682,34412.0,79257.0,2988.0,1
34,40.6947,-73.9554,B02617,20761.0,33709.0,6610.0,0
25,40.7543,-73.9784,B02682,112875.0,-666666666.0,44.0,0
19,40.6865,-73.9687,B02617,55991.0,90487.0,3632.0,1
7,40.6367,-73.9114,B02598,31861.0,60164.0,4709.0,0
29,40.6215,-73.942,B02617,36087.0,104167.0,2748.0,1
58,40.6251,-74.1479,B02617,30507.0,65345.0,3778.0,1
31,40.6487,-74.0011,B02617,32948.0,64246.0,3399.0,0
23,40.6671,-73.662,B02617,47173.0,113274.0,3876.0,1
55,40.7736,-73.9234,B02617,26538.0,58879.0,4527.0,0
1,40.8442,-73.8294,B02617,29671.0,61603.0,5517.0,0
50,40.7158,-73.9446,B02617,52567.0,85058.0,2838.0,1
48,40.6233,-74.0043,B02617,19095.0,38973.0,4844.0,0
32,40.6559,-73.9438,B02617,8785.0,10729.0,1321.0,0
3,40.7619,-73.3449,B02682,34363.0,87167.0,3010.0,1
18,40.8542,-73.9146,B02617,12385.0,19040.0,5444.0,0
38,40.6202,-73.9291,B02617,34000.0,79375.0,2040.0,1
9,40.7202,-73.7396,B02617,29258.0,54483.0,1505.0,0
46,40.747,-73.898,B02598,27050.0,55150.0,6780.0,0
30,40.6822,-73.7996,B02617,34853.0,78194.0,1493.0,1
41,40.7531,-73.9065,B02512,33804.0,72981.0,1471.0,1
38,40.8306,-73.9009,B02617,19049.0,33525.0,5172.0,0
20,40.8375,-73.8655,B02617,17872.0,30160.0,4311.0,0
22,40.7588,-73.8804,B02617,33772.0,68813.0,3357.0,1
19,40.7083,-73.872,B02617,31152.0,59259.0,2567.0,0
58,40.651,-73.9292,B02617,32298.0,42663.0,2900.0,0
0,40.8699,-73.8995,B02598,18327.0,35315.0,7146.0,0
50,40.6117,-73.9441,B02598,33491.0,54211.0,2360.0,0
39,40.7172,-73.8352,B02617,63090.0,81985.0,4182.0,1
5,40.7538,-73.985,B02598,89107.0,110000.0,120.0,1
16,40.9595,-73.8827,B02682,40528.0,83500.0,5973.0,1
26,40.7276,-73.8603,B02598,43223.0,64861.0,3901.0,0
47,40.8602,-73.9071,B02598,16694.0,30069.0,5925.0,0
58,40.6754,-73.8722,B02617,26418.0,32344.0,5203.0,0
57,40.7468,-73.9132,B02617,38975.0,56541.0,5779.0,0
17,40.9227,-73.7508,B02598,85357.0,198661.0,6031.0,1
42,40.6385,-73.6461,B02617,41056.0,96490.0,3706.0,1
49,40.6899,-73.9818,B02598,66496.0,118565.0,3171.0,1
41,40.7439,-73.8807,B02598,26896.0,61645.0,8359.0,0
54,40.7602,-73.907,B02617,34792.0,61838.0,2265.0,0
5,40.6918,-73.5699,B02598,48684.0,117857.0,3916.0,1
11,40.6924,-73.4839,B02682,52424.0,134286.0,2686.0,1
26,40.8203,-73.9577,B02617,16259.0,26007.0,3426.0,0
25,40.6441,-73.9878,B02617,20977.0,46573.0,2287.0,0
26,40.7372,-74.0019,B02617,88100.0,136731.0,5872.0,1
24,40.6554,-73.5416,B02617,67500.0,161292.0,3932.0,1
0,40.8028,-73.9654,B02682,56154.0,116144.0,7339.0,1
5,40.6777,-73.9266,B02682,21497.0,31953.0,2791.0,0
21,40.852,-73.8678,B02598,29412.0,43150.0,2807.0,0
6,40.6054,-74.0034,B02617,26042.0,56607.0,3461.0,0
10,40.6115,-73.9358,B02682,33750.0,77328.0,1833.0,1
47,40.8423,-73.8522,B02617,25222.0,45179.0,2934.0,0
57,40.6585,-73.645,B02598,40881.0,59073.0,5717.0,0
39,40.6305,-74.004,B02617,22258.0,54375.0,2382.0,0
42,40.7188,-73.7349,B02617,32313.0,50667.0,1432.0,0
10,40.676,-73.922,B02617,18112.0,20881.0,4427.0,0
1,40.6532,-73.9749,B02617,65000.0,98603.0,2306.0,1
9,40.6287,-73.916,B02598,34421.0,62458.0,3960.0,0
47,41.0359,-73.8279,B02617,60163.0,168500.0,2906.0,1
44,40.8617,-73.5285,B02598,41948.0,92952.0,6226.0,1
1,40.704,-73.6387,B02598,28447.0,68418.0,2967.0,1
24,40.7175,-73.9783,B02682,14491.0,18977.0,5909.0,0
56,40.7113,-73.9477,B02682,43769.0,83864.0,2408.0,1
7,40.7045,-73.9073,B02682,26552.0,62991.0,4909.0,0
42,40.8871,-73.9041,B02682,34045.0,60078.0,3284.0,0
23,40.6014,-73.9588,B02598,34276.0,65464.0,3658.0,1
51,40.7135,-73.9901,B02617,11753.0,19778.0,10765.0,0
44,40.6694,-73.9242,B02682,20986.0,30096.0,5234.0,0
40,40.7145,-73.9815,B02617,30142.0,50399.0,3726.0,0
33,40.7046,-73.8351,B02598,36094.0,63448.0,5616.0,0
26,40.7006,-73.9282,B02512,23591.0,62750.0,4718.0,0
39,40.7181,-73.8372,B02598,63090.0,81985.0,4182.0,1
2,40.6943,-73.9062,B02598,24363.0,46690.0,5904.0,0
1,40.8868,-73.9094,B02617,56318.0,91099.0,3585.0,1
31,40.6925,-73.8506,B02682,33793.0,89226.0,2019.0,1
5,40.8235,-73.95,B02617,23403.0,51572.0,10631.0,0
10,40.7652,-73.9184,B02598,42116.0,72264.0,5204.0,1
17,40.6759,-73.4716,B02617,49474.0,117375.0,2106.0,1
37,40.7608,-73.0696,B02617,47201.0,127540.0,5917.0,1
29,40.608,-73.9876,B02617,22881.0,46544.0,3667.0,0
40,40.6366,-73.9158,B02617,32750.0,74650.0,3252.0,1
1,40.9642,-73.7874,B02682,81731.0,174477.0,5781.0,1
37,40.8244,-73.9397,B02617,21592.0,34409.0,5480.0,0
41,40.8037,-73.9558,B02617,32101.0,47059.0,7110.0,0
27,40.9707,-73.8772,B02617,40375.0,88977.0,3363.0,1
42,40.7578,-73.9737,B02617,74028.0,167500.0,180.0,1
2,40.6367,-73.95,B02617,26288.0,37159.0,3114.0,0
50,40.6322,-73.9575,B02598,26151.0,67736.0,2393.0,1
2,40.854,-73.8434,B02617,34439.0,56064.0,1670.0,0
15,40.6828,-73.9766,B02617,62837.0,104331.0,2462.0,1
54,40.8775,-73.8739,B02598,17489.0,26621.0,4544.0,0
42,40.7313,-73.734,B02617,33917.0,76875.0,6845.0,1
15,40.6817,-73.819,B02682,26272.0,82700.0,3235.0,1
55,40.9276,-73.8625,B02617,34234.0,74643.0,3429.0,1
24,40.6844,-73.7736,B02512,36782.0,73864.0,1790.0,1
1,40.6681,-73.6849,B02598,52216.0,109868.0,7093.0,1
4,40.9294,-73.8305,B02682,51944.0,139353.0,3519.0,1
10,40.7747,-73.0489,B02512,45615.0,85899.0,4588.0,1
40,40.6739,-73.9334,B02617,25693.0,36548.0,3188.0,0
7,40.697,-73.9135,B02682,26324.0,50625.0,5018.0,0
26,40.7802,-73.5288,B02617,51101.0,102561.0,3078.0,1
56,41.0032,-73.8795,B02682,56329.0,142750.0,6798.0,1
24,40.6398,-73.9359,B02598,28194.0,62188.0,2339.0,0
59,40.7359,-73.6614,B02617,33466.0,96550.0,4243.0,1
29,40.8274,-73.8951,B02598,17690.0,31336.0,4311.0,0
43,40.6951,-73.8395,B02598,28886.0,70179.0,2798.0,1
58,40.7439,-73.9226,B02617,39023.0,62733.0,3683.0,0
17,40.8558,-73.8628,B02598,30688.0,52447.0,5912.0,0
19,40.7712,-73.9305,B02598,27190.0,50417.0,3143.0,0
